,ALC_mg/L,CONDUCT_mS/cm,SDT_M_mg/L,FLUORUROS_mg/L,DUR_mg/L,COLI_FEC_NMP/100_mL,N_NO3_mg/L,AS_TOT_mg/L,CD_TOT_mg/L,CR_TOT_mg/L,HG_TOT_mg/L,PB_TOT_mg/L,MN_TOT_mg/L,FE_TOT_mg/L
72,147.07,1044.0,712.0,0.4386,238.81,1.0,1.0532,0.009,0.002,0.004,0.0004,0.004,0.0024,0.2008
73,173.81,1022.0,693.0,0.2079,256.57,1.0,0.9395,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2641
74,289.37,2073.0,1379.0,0.8061,707.55,1.0,0.6267,0.009,0.002,0.004,0.0004,0.004,0.0831,0.11319
75,165.22,1868.0,1258.0,1.716,428.27,1.0,1.3526,0.009,0.002,0.004,0.0004,0.004,0.03711,0.2399
76,187.18,1414.0,953.0,0.8564,479.58,1.0,1.2513,0.009,0.002,5.0032,0.0004,0.004,0.00519,0.49037
77,448.85,1623.0,1074.0,1.4876,246.7,40.0,0.8826,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0789
78,169.725,1626.0,1072.0,0.3963,367.0064,1.0,2.510057,0.009,0.002,0.004,0.0004,0.004,0.0231,0.024
79,204.765,1263.0,776.0,1.8247,99.73,1.0,1.458402,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0382
80,213.525,1362.0,2548.0,0.4605,789.8616,309.0,0.038281,0.009,0.002,0.004,0.0004,0.004,1.058,4.65
81,177.39,440.0,241.0,0.1,97.7354,201.0,1.502923,0.009,0.002,0.004,0.0004,0.004,0.003,0.0564
82,123.21,234.0,197.6,2.6173,27.7088,63.0,0.383628,0.0283,0.002,0.004,0.0004,0.004,0.0058,0.0493
83,226.665,401.0,301.0,2.5556,148.44,97.0,0.662468,0.009,0.002,0.004,0.0004,0.004,0.0029,0.0584
84,102.93,245.0,139.4,1.9905,49.48,1.0,0.622853,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0587
85,124.32,300.0,222.4,0.7554,99.49,1.0,4.398582,0.009,0.002,0.004,0.0004,0.004,0.1266,0.3678
86,205.35,358.0,255.0,0.5695,169.133,10.0,0.275087,0.009,0.002,0.004,0.0004,0.004,0.0026,0.0551
87,125.43,349.0,177.4,1.2825,93.5206,1.0,0.28316,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
88,290.175,651.0,517.6,6.6215,19.0,1.0,5.551842,0.4522,0.002,0.004,0.0004,0.004,0.0014,0.024
89,266.085,577.0,494.6,1.4009,197.4654,1.0,7.269607,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
90,126.54,232.0,164.2,0.3269,93.5206,1.0,0.673269,0.0211,0.002,0.004,0.0004,0.004,0.0327,1.157
91,166.44,1061.0,795.8,5.0148,143.6112,1.0,6.738697,0.0527,0.002,0.004,0.0004,0.004,0.003,0.113
92,223.38,626.0,431.8,1.5169,199.46,1.0,7.292391,0.009,0.002,0.004,0.0004,0.004,0.0027,0.8893
93,241.995,910.0,706.0,1.7789,231.3736,52.0,9.303849,0.021,0.002,0.004,0.0004,0.004,0.0014,0.024
94,134.685,312.0,215.6,3.2139,91.7516,1.0,0.592998,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
95,127.02,378.0,228.0,0.4113,135.6328,1.0,6.572807,0.009,0.002,0.004,0.0004,0.004,0.0021,0.024
96,113.88,1707.0,1492.8,0.6039,653.136,1.0,7.574602,0.009,0.002,0.0054,0.0004,0.004,0.0014,0.0292
97,211.335,1710.0,1352.8,4.276,428.839,14136.0,2.926973,0.1113,0.002,0.004,0.00121,0.004,0.0014,0.024
98,108.78,566.0,636.8,12.501,79.168,697.0,3.75019,0.0606,0.002,0.0256,0.0004,0.004,0.002,0.1113
